PersonalID,FirstName,MiddleName,LastName,NameSuffix,NameDataQuality,SSN,SSNDataQuality,DOB,DOBDataQuality,Sex,AmIndAKNative,Asian,BlackAfAmerican,HispanicLatinao,MidEastNAfrican,NativeHIPacific,White,RaceNone,AdditionalRaceEthnicity,VeteranStatus,YearEnteredService,YearSeparated,WorldWarII,KoreanWar,VietnamWar,DesertStorm,AfghanistanOEF,IraqOIF,IraqOND,OtherTheater,MilitaryBranch,DischargeStatus,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"C11013","Paint",,"Grege",,1,"856785454",1,1972-07-31,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2005-12-03 07:55:00,2023-11-08 01:52:35,"PSH148U",,"LSAv8TestJul271308"
"C11016","Succory",,"Chevron",,99,"324126279",1,1971-12-27,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2006-02-04 10:24:10,2026-03-05 15:12:32,"NXS138U",,"LSAv8TestJul271308"
"C11019","Tricotine",,"Rockweed",,1,"343614089",1,1965-02-14,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2006-02-07 10:20:50,2023-01-26 18:43:34,"NXS106U",,"LSAv8TestJul271308"
"C11022","Glaze",,"Fable",,1,"127421705",1,1973-03-03,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2006-02-19 02:23:59,2024-10-28 12:19:12,"RRH132U",,"LSAv8TestJul271308"
"C11025","Filigree",,"Tower",,1,"533458243",1,1956-02-23,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2006-03-26 00:54:38,2022-12-12 14:14:56,"PSH148U",,"LSAv8TestJul271308"
"C11028","Identity",,"Feverroot",,1,"539187914",1,1966-09-07,1,,1,1,0,1,0,0,0,,,0,,,,,,,,,,,,,2006-04-09 15:04:07,2023-09-07 14:50:09,"NXS138U",,"LSAv8TestJul271308"
"C11031","Leader",,"Lead",,1,"224287649",1,1961-07-30,1,,1,0,0,0,1,1,0,,,0,,,,,,,,,,,,,2006-05-19 18:31:48,2023-06-12 07:29:17,"NXS113U",,"LSAv8TestJul271308"
"C11034","Ingrain",,"Bracelet",,1,"363248086",1,1993-07-31,1,,1,0,0,1,1,0,0,,,0,,,,,,,,,,,,,2006-06-19 11:19:41,2025-10-31 08:49:07,"NXS109U",,"LSAv8TestJul271308"
"C11037","Crayon",,"Garland",,1,"213999113",1,1996-06-28,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2006-07-03 13:41:29,2023-08-19 13:50:00,"NBN105U",,"LSAv8TestJul271308"
"C11040","Prodigy",,"Calcimine",,1,"705591929",1,2004-08-31,1,,0,1,1,0,1,0,0,,,0,,,,,,,,,,,,,2006-07-26 16:31:01,2025-01-15 16:43:00,"NXS116U",,"LSAv8TestJul271308"
"C11043","Basil",,"Extenuate",,1,"576469044",1,1962-01-27,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2006-08-23 20:38:03,2021-07-30 13:50:26,"PSH164U",,"LSAv8TestJul271308"
"C11046","Flavor",,"Radish",,1,"687387069",1,1981-05-02,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2006-09-08 14:10:27,2021-10-03 12:54:00,"NXS106U",,"LSAv8TestJul271308"
"C11049","Skyscraper",,"Champagne",,1,"464462998",1,1960-08-09,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2006-10-18 20:27:20,2025-07-17 15:36:32,"NXS111U",,"LSAv8TestJul271308"
"C11052","Success",,"Calico",,1,"547693185",1,1977-07-01,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2006-11-10 07:01:34,2024-08-04 13:11:03,"NXS114U",,"LSAv8TestJul271308"
"C11055","Polaris",,"Mood",,1,"753305718",1,1966-04-21,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2006-11-22 20:46:13,2025-11-11 21:05:49,"NXS111U",,"LSAv8TestJul271308"
"C11058","Feint",,"Crosshatch",,1,"490426675",1,1988-01-23,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2006-11-25 10:36:57,2026-05-25 11:29:25,"NXS129U",,"LSAv8TestJul271308"
"C11061","Sway",,"Ruling",,99,"591604870",1,1960-08-27,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2006-12-05 14:37:21,2026-07-28 11:31:32,"NXS109U",,"LSAv8TestJul271308"
"C11064","Highlight",,"Pride",,1,"346189368",1,1984-12-01,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2007-01-04 17:32:58,2023-07-21 15:38:24,"RRH132U",,"LSAv8TestJul271308"
"C11067","Poplin",,"Attitude",,1,"492481168",1,1966-12-03,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2007-01-09 22:40:47,2021-12-09 13:39:19,"RRH143U",,"LSAv8TestJul271308"
"C11070","Rayon",,"Armlet",,1,"648739823",1,1980-06-14,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2007-01-13 22:40:03,2021-09-24 15:48:15,"NXS102U",,"LSAv8TestJul271308"
"C11073","Trimming",,"Paragon",,1,"216819414",1,1955-08-25,1,,1,0,0,1,0,1,0,,,0,,,,,,,,,,,,,2007-02-27 20:05:18,2023-09-21 12:18:19,"NXS111U",,"LSAv8TestJul271308"
"C11076","Distillate",,"Ribbon",,1,"728612829",1,2002-04-04,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2007-02-27 20:10:03,2023-09-14 13:43:07,"NXS111U",,"LSAv8TestJul271308"
"C11079","Netting",,"Belabor",,99,"827489746",99,1965-04-03,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2007-03-09 11:47:54,2018-08-03 06:09:08,"NXS108U",,"LSAv8TestJul271308"
"C11082","Vegetal",,"Prefab",,1,"508370371",1,1966-04-16,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2007-03-16 14:19:17,2021-03-15 12:05:18,"NXS108U",,"LSAv8TestJul271308"
"C11085","Copper",,"Bedeck",,1,"228094249",1,1979-05-22,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2007-07-14 15:53:11,2025-06-26 14:38:38,"NXS109U",,"LSAv8TestJul271308"
"C11088","Figwort",,"Cucumber",,1,"559491317",1,1974-11-23,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2007-09-05 20:19:48,2025-10-05 07:22:37,"NXS111U",,"LSAv8TestJul271308"
"C11091","Headstock",,"Wreathe",,1,"341744533",1,2005-03-12,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2007-09-27 04:27:54,2019-10-24 11:49:41,"NBN105U",,"LSAv8TestJul271308"
"C11094","Shade",,"Tribe",,1,"448307053",1,1963-09-16,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2007-12-28 15:37:29,2024-12-24 12:50:37,"NXS102U",,"LSAv8TestJul271308"
"C11097","Rootlike",,"Head",,1,"845474771",1,1973-08-21,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2008-01-05 15:51:20,2023-08-29 10:57:13,"NXS102U",,"LSAv8TestJul271308"
"C11100","Velure",,"Mint",,1,"657568662",1,2003-07-06,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2008-01-05 15:53:27,2023-08-29 10:56:49,"NXS102U",,"LSAv8TestJul271308"
"C11103","Bespangle",,"Decor",,1,"836083660",1,1985-01-18,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-01-27 16:17:38,2022-03-27 06:35:35,"RSO152U",,"LSAv8TestJul271308"
"C11106","Dicot",,"Mask",,1,"660996358",1,1988-09-27,1,,1,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-02-12 20:24:11,2023-08-07 09:59:22,"NXS111U",,"LSAv8TestJul271308"
"C11109","Diva",,"Standard",,1,"225334693",1,1971-01-28,1,,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,2008-04-15 13:27:02,2024-08-05 15:56:30,"NXS106U",,"LSAv8TestJul271308"
"C11112","Clover",,"Nonesuch",,1,"814110836",1,1966-05-12,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-04-20 11:53:12,2022-03-06 10:27:48,"NXS106U",,"LSAv8TestJul271308"
"C11115","Luminant",,"Present",,1,"525648167",1,1980-06-05,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2008-04-22 10:16:44,2024-01-20 10:49:14,"NXS106U",,"LSAv8TestJul271308"
"C11118","Annatto",,"Prodigy",,1,,9,2002-02-06,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-04-24 16:24:26,2025-02-22 13:14:28,"NXS106U",,"LSAv8TestJul271308"
"C11121","Consulate",,"Overruling",,99,,99,1998-10-03,1,,0,0,0,0,0,0,1,,,99,,,,,,,,,,,,,2008-05-24 10:06:16,2008-05-24 10:06:16,"NXS102U",,"LSAv8TestJul271308"
"C11124","Delineate",,"Phlegmatic",,1,"602189526",1,1988-05-28,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-05-24 12:58:16,2022-09-11 13:45:29,"NXS102U",,"LSAv8TestJul271308"
"C11127","Diminish",,"Mold",,1,"448444156",1,1999-04-20,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2008-06-01 06:12:06,2025-02-16 18:36:57,"RRH132U",,"LSAv8TestJul271308"
"C11130","Aralac",,"Herringbone",,1,"338148875",1,1983-08-02,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-06-09 10:59:26,2024-05-05 08:32:20,"TRN104U",,"LSAv8TestJul271308"
"C11133","Edifice",,"Engrave",,1,"264182028",1,2006-02-28,1,,0,0,1,0,0,0,1,,,0,,,,,,,,,,,,,2008-06-28 14:28:23,2026-04-14 12:23:04,"NXS106U",,"LSAv8TestJul271308"
"C11136","Garble",,"Feature",,1,"587059885",1,1979-01-22,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-07-23 21:52:54,2023-11-08 21:06:41,"RRH143U",,"LSAv8TestJul271308"
"C11139","Perspective",,"Revolite",,1,"365283622",1,2004-04-10,1,,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,2008-07-23 22:04:24,2023-11-08 21:00:16,"NXS116U",,"LSAv8TestJul271308"
"C11142","Magenta",,"Interlacing",,1,"154635311",1,1971-10-19,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2008-08-25 13:07:47,2021-03-04 16:10:00,"NXS106U",,"LSAv8TestJul271308"
"C11145","Moon",,"Pervade",,1,"593141018",1,1984-05-11,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-09-01 12:23:46,2025-08-09 11:43:48,"NXS129U",,"LSAv8TestJul271308"
"C11148","Form",,"Fustian",,1,"770380847",1,2007-08-25,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2008-09-01 13:31:44,2025-10-30 14:45:32,"NXS106U",,"LSAv8TestJul271308"
"C11151","Orchid",,"Carmine",,1,"690139626",1,1952-02-17,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-09-08 07:15:25,2021-09-04 10:29:59,"NXS108U",,"LSAv8TestJul271308"
"C11154","Bedizen",,"Important",,1,"266240063",1,1965-04-08,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-10-14 16:33:57,2024-12-13 17:14:53,"NXS129U",,"LSAv8TestJul271308"
"C11157","Grace",,"Precede",,1,"597837893",1,1978-05-17,1,,1,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-10-25 14:16:59,2023-12-29 10:40:18,"NXS106U",,"LSAv8TestJul271308"
"C11160","Shape",,"Cynosure",,1,"664961406",1,1973-06-10,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-12-08 14:16:50,2020-11-23 15:14:17,"RRH132U",,"LSAv8TestJul271308"
"C11163","Constellation",,"Beryl",,1,"272260455",1,2008-06-04,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2008-12-22 13:56:07,2025-02-22 13:23:12,"NXS106U",,"LSAv8TestJul271308"
"C11166","Verdigris",,"Denim",,99,"177984929",1,1980-09-16,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2008-12-26 21:59:52,2018-08-03 06:09:08,"NBN105U",,"LSAv8TestJul271308"
"C11169","Weary",,"Overcharge",,1,"245793243",1,1980-09-13,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2009-01-28 22:37:03,2023-08-07 10:00:10,"NXS116U",,"LSAv8TestJul271308"
"C11172","Ruddle",,"Trimming",,1,"713074913",1,1959-06-27,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2009-02-07 14:06:48,2023-11-27 13:05:04,"NBN105U",,"LSAv8TestJul271308"
"C11175","Dispose",,"Damask",,1,"249148097",1,1961-06-26,1,,1,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2009-03-19 18:17:39,2025-07-03 10:19:54,"NBN105U",,"LSAv8TestJul271308"
"C11178","Helianthin",,"Parody",,1,"789148856",1,1967-08-23,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2009-03-30 14:33:43,2024-11-16 09:10:17,"NXS108U",,"LSAv8TestJul271308"
"C11181","Core",,"Travesty",,1,"573335670",1,1969-07-13,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2009-04-01 20:03:58,2023-11-10 19:06:18,"NXS111U",,"LSAv8TestJul271308"
"C11184","Viridian",,"Chamois",,1,"832171869",1,1995-05-24,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2009-04-01 20:26:17,2024-12-27 14:50:47,"RRH143U",,"LSAv8TestJul271308"
"C11187","Ginseng",,"Magenta",,1,"441610720",1,1983-01-12,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2009-05-03 10:49:41,2022-12-25 14:19:10,"NXS102U",,"LSAv8TestJul271308"
"C11190","Hyacinth",,"Superman",,1,"311988698",1,1984-09-09,1,,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,2009-05-30 16:30:11,2025-02-23 12:46:25,"NXS102U",,"LSAv8TestJul271308"
"C11193","Chicken",,"Fast-Dye",,1,"499917846",1,2005-03-05,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2009-05-30 16:36:18,2025-02-23 12:47:02,"NXS102U",,"LSAv8TestJul271308"
"C11196","Manner",,"Stripe",,1,"150268782",1,1983-06-17,1,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2009-06-07 20:55:20,2022-11-29 11:44:23,"PSH165U",,"LSAv8TestJul271308"
"C11199","Lettuce",,"Flop",,1,"778416337",1,1956-12-10,1,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,2009-06-23 21:31:46,2025-07-17 15:49:18,"NXS111U",,"LSAv8TestJul271308"
"C11202","Beetroot",,"Elixir",,1,"612922683",1,1987-02-02,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2009-07-23 15:36:46,2026-04-13 13:15:48,"NBN105U",,"LSAv8TestJul271308"
"C11205","Anagnorisis",,"Perennial",,1,"860516577",1,2004-08-05,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2009-08-28 17:14:58,2022-08-21 07:07:55,"NXS138U",,"LSAv8TestJul271308"
"C11208","Succeed",,"Technique",,1,"440480516",1,1979-09-10,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2009-11-01 16:01:35,2025-05-16 17:50:27,"RSO152U",,"LSAv8TestJul271308"
"C11211","Tulle",,"Chassis",,1,"330325633",1,1990-01-22,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2010-02-05 10:59:17,2021-12-10 16:56:34,"NXS102U",,"LSAv8TestJul271308"
"C11214","Molding",,"Netting",,1,"307498609",1,1984-07-31,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2010-04-04 18:21:03,2024-02-11 11:22:10,"NXS127U",,"LSAv8TestJul271308"
"C11217","Pharmacon",,"Raisin",,1,"513980114",1,1966-05-18,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2010-04-13 14:52:28,2024-08-05 16:11:34,"NXS106U",,"LSAv8TestJul271308"
"C11220","Scenarize",,"Distort",,99,"434825882",1,1992-10-16,1,,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,2010-04-17 22:54:36,2026-01-12 14:50:18,"NXS102U",,"LSAv8TestJul271308"
"C11223","Saprophyte",,"Stencil",,1,"123679177",1,1973-06-30,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2010-04-25 20:41:20,2022-01-06 03:56:34,"NBN105U",,"LSAv8TestJul271308"
"C11226","Vegetable",,"Cerulean",,1,"352682327",1,1995-04-27,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2010-04-27 21:06:07,2025-10-24 19:23:17,"NXS111U",,"LSAv8TestJul271308"
"C11229","Beans",,"Overstress",,1,"626898587",1,1998-07-23,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2010-05-18 15:28:51,2025-12-15 11:18:45,"NXS106U",,"LSAv8TestJul271308"
"C11232","Cosmopolite",,"Mitigate",,1,"149217606",1,2000-01-04,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2010-05-18 15:30:20,2025-12-11 11:12:59,"NXS106U",,"LSAv8TestJul271308"
"C11235","Notability",,"Gist",,1,"471462021",1,1969-08-24,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2010-06-01 12:55:35,2025-01-11 15:35:37,"NXS106U",,"LSAv8TestJul271308"
"C11238","Titivate",,"Aralac",,99,"639823135",1,1983-09-05,99,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2010-06-15 21:34:13,2018-08-03 06:09:08,"NXS116U",,"LSAv8TestJul271308"
"C11241","Madras",,"Values",,1,"226751896",1,1991-05-08,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2010-06-22 15:55:02,2021-03-04 15:29:39,"NXS106U",,"LSAv8TestJul271308"
"C11244","Basil",,"Diagram",,1,"310411889",1,1990-12-14,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2010-08-25 03:13:38,2023-07-28 14:33:27,"NXS110U",,"LSAv8TestJul271308"
"C11247","Clematis",,"Solferino",,1,"474664680",1,1983-02-15,1,,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,2010-09-13 11:18:47,2026-03-23 12:19:46,"RSO152U",,"LSAv8TestJul271308"
"C11250","Fuchsine",,"Potato",,99,"789266620",1,1980-03-24,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2010-10-17 10:54:56,2018-08-03 06:09:08,"NXS106U",,"LSAv8TestJul271308"
"C11253","Stress",,"Emblem",,1,"630796976",1,1972-07-16,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2010-11-26 10:36:42,2025-07-20 09:51:13,"NXS113U",,"LSAv8TestJul271308"
"C11256","Temper",,"Mandarin",,1,"698866037",1,1975-02-13,1,,0,0,0,0,1,0,0,,,0,,,,,,,,,,,,,2010-11-30 09:41:13,2025-01-02 11:58:56,"NXS106U",,"LSAv8TestJul271308"
"C11259","Nonpareil",,"Ornamentation",,99,"335972160",1,1967-05-02,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2011-01-13 22:18:53,2018-08-03 06:09:08,"NXS108U",,"LSAv8TestJul271308"
"C11262","Important",,"Stage",,1,"521179052",1,1990-10-15,1,,0,0,0,1,0,0,1,,,0,,,,,,,,,,,,,2011-01-13 22:27:08,2021-03-15 12:06:24,"NXS108U",,"LSAv8TestJul271308"
"C11265","Distinguished",,"Calcimine",,99,"385028565",1,2003-07-23,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-01-21 09:55:47,2018-08-03 06:09:08,"NXS102U",,"LSAv8TestJul271308"
"C11268","Nankeen",,"Cloak",,1,"470660412",1,1979-12-31,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2011-02-18 15:00:11,2025-04-24 12:35:41,"NXS106U",,"LSAv8TestJul271308"
"C11271","Diminish",,"Decoct",,1,"120240960",1,1962-04-14,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-02-26 20:25:53,2023-10-16 08:41:35,"NXS110U",,"LSAv8TestJul271308"
"C11274","Cordovan",,"Primrose",,1,"368767913",1,1992-04-02,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-03-08 21:20:55,2021-01-24 09:33:05,"NXS116U",,"LSAv8TestJul271308"
"C11277","Sand",,"Guise",,1,"892966553",1,1972-03-19,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2011-04-19 21:20:09,2023-11-24 09:35:48,"NXS111U",,"LSAv8TestJul271308"
"C11280","Chintz",,"Chief",,1,"134631211",1,1987-12-02,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-04-23 14:51:22,2023-02-05 10:49:30,"NXS106U",,"LSAv8TestJul271308"
"C11283","Values",,"Ignore",,1,"590592259",1,1993-05-21,1,,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,2011-05-14 09:16:27,2024-08-05 16:12:29,"NXS106U",,"LSAv8TestJul271308"
"C11286","Treasure",,"Chrome",,1,"896534756",1,1976-11-26,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-05-20 12:39:04,2020-02-21 09:36:49,"NXS106U",,"LSAv8TestJul271308"
"C11289","Dittany",,"Kraut",,1,"352811437",1,1972-05-11,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-05-23 21:40:46,2021-12-02 10:19:25,"NXS116U",,"LSAv8TestJul271308"
"C11292","Prink",,"Homespun",,1,"134403360",1,1989-09-28,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-05-27 08:46:21,2026-06-30 08:31:55,"NXS110U",,"LSAv8TestJul271308"
"C11295","Star",,"Quilting",,1,"326818504",1,1968-01-09,1,,0,0,0,1,0,0,1,,,0,,,,,,,,,,,,,2011-05-28 18:18:55,2025-11-23 13:22:20,"NBN105U",,"LSAv8TestJul271308"
"C11298","Constellation",,"Pieplant",,1,"652343346",1,1988-02-27,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2011-06-11 23:18:24,2023-10-26 02:05:19,"NXS127U",,"LSAv8TestJul271308"
"C11301","Paramount",,"Puffball",,1,"806706422",1,2006-07-31,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2011-06-21 20:47:59,2025-06-13 13:08:57,"NXS116U",,"LSAv8TestJul271308"
"C11304","Ground",,"Present",,1,"703673659",1,1994-11-16,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-07-22 10:52:31,2025-02-23 12:48:12,"NXS102U",,"LSAv8TestJul271308"
"C11307","Perthophyte",,"Tricotine",,1,"236922228",1,1999-05-07,1,,0,0,0,0,0,0,0,9,,0,,,,,,,,,,,,,2011-08-09 20:36:17,2025-07-17 15:50:10,"NXS111U",,"LSAv8TestJul271308"
"C11310","Legumes",,"Perthophyte",,1,"593537040",1,1989-06-24,1,,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,2011-08-09 21:55:33,2020-05-30 14:43:37,"NXS116U",,"LSAv8TestJul271308"
"C11313","Sphere",,"Stationary",,1,"262929748",1,1978-10-23,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-08-26 13:00:04,2021-03-04 15:31:45,"NXS106U",,"LSAv8TestJul271308"
"C11316","Stooge",,"Burgundy",,1,"378859731",1,1982-10-30,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2011-10-01 16:53:03,2023-07-03 12:31:54,"NXS106U",,"LSAv8TestJul271308"
